iter	Passed	Remaining
0	154	154684
1	155	77677
2	156	51959
3	156	39092
4	157	31372
5	158	26241
6	159	22577
7	159	19822
8	160	17686
9	161	15977
10	162	14576
11	162	13413
12	163	12422
13	164	11574
14	165	10850
15	166	10226
16	166	9652
17	167	9140
18	168	8684
19	168	8275
20	169	7905
21	170	7563
22	170	7256
23	171	6973
24	172	6710
25	172	6468
26	173	6243
27	173	6035
28	174	5842
29	175	5662
30	175	5493
31	176	5335
32	176	5185
33	177	5044
34	178	4911
35	178	4789
36	179	4671
37	180	4564
38	180	4458
39	181	4356
40	182	4259
41	182	4168
42	183	4080
43	183	3996
44	184	3916
45	185	3839
46	185	3766
47	186	3695
48	187	3629
49	187	3566
50	188	3505
51	188	3444
52	189	3385
53	190	3331
54	190	3277
55	191	3227
56	192	3177
57	192	3129
58	193	3082
59	193	3039
60	194	2995
61	195	2954
62	195	2914
63	196	2873
64	197	2835
65	197	2796
66	198	2760
67	198	2725
68	199	2690
69	200	2657
70	200	2624
71	201	2592
72	201	2561
73	202	2531
74	202	2502
75	203	2473
76	204	2446
77	204	2418
78	205	2392
79	205	2366
80	206	2341
81	206	2317
82	207	2290
83	207	2266
84	208	2244
85	209	2223
86	209	2202
87	210	2182
88	211	2161
89	211	2140
90	212	2121
91	212	2101
92	213	2082
93	214	2063
94	214	2046
95	215	2027
96	215	2010
97	216	1994
98	217	1977
99	217	1960
100	218	1944
101	219	1928
102	219	1912
103	220	1897
104	220	1882
105	221	1867
106	221	1852
107	222	1838
108	223	1824
109	224	1812
110	224	1800
111	225	1787
112	226	1774
113	226	1762
114	227	1750
115	228	1738
116	228	1726
117	229	1714
118	229	1702
119	230	1691
120	231	1680
121	231	1668
122	232	1657
123	233	1646
124	233	1636
125	234	1628
126	235	1618
127	236	1609
128	236	1599
129	237	1589
130	238	1580
131	239	1572
132	240	1564
133	240	1555
134	241	1547
135	242	1539
136	243	1531
137	244	1524
138	244	1515
139	245	1507
140	246	1498
141	246	1489
142	247	1480
143	247	1471
144	248	1463
145	248	1455
146	249	1446
147	249	1439
148	250	1431
149	251	1423
150	251	1415
151	252	1408
152	253	1401
153	254	1396
154	254	1389
155	255	1383
156	256	1376
157	256	1369
158	257	1362
159	258	1356
